reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
be20eda7-0d90-4384-94b0-17bdc03a23d4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,5.18.2,2025-05-16 03:03:36,,,5.18.2
c66ad64f-15ac-43ce-97cf-cf5eef90ac0f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mana bos ku,yang kenapa gojek saya tidak bisa login",5,0,5.18.2,2025-05-16 02:48:05,,,5.18.2
fbe12b87-bf87-48c4-86cc-0eb32045c027,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,5.18.2,2025-05-16 02:43:21,,,5.18.2
a340b5ed-8059-49dd-99ce-2413324f71aa,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tepat waktu,sesuai aplikasi",5,0,5.18.2,2025-05-16 02:42:20,,,5.18.2
4a159195-b4cd-411a-ab18-154105ae3213,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mengganggu iklan,1,0,4.14.2,2025-05-16 02:38:08,"Hai Kak Subur, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-05-16 06:55:28,4.14.2
9c798b84-b1e1-49a0-8373-626fe646241f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gak nyangka cuma pake paylatter 500rb dan masih jauh jatuh tempo pembayarannya, penagihannya udh melebihi kya org yg pinjem jutaan, perusahaan sebesar gojek kok bisa sistemnya se parah ini",1,0,5.18.2,2025-05-16 02:32:13,"Hai Kak Hana, mohon maaf atas ketidaknyamanannya. Laporan yang kamu sampaikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan terkait layanan GoPay Later, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id. ^Miko",2025-05-16 06:54:07,5.18.2
bec316e2-647b-4586-911f-1e6a6a76b678,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,gopay later dan gopay pinjam tiba² di bekukan padahal gak punya tagihan... kan aneh,2,0,5.18.2,2025-05-16 02:30:05,"Hai Kak Dini, mohon maaf atas ketidaknyamanan yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-25-136-0652-08834 di subjek email, ya. ^Miko",2025-05-16 06:52:21,5.18.2
da1d08c7-e335-42b0-b885-a15fdc96c478,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"mohon diperbaiki aplikasi nya harus ada pemisahan fitur order dan lainnya, karena kalau tidak hati2 dalam pencet fitur2 nya bisa2 langsung order padahal kita belum order dan belum perlu..tks",2,0,,2025-05-16 02:19:14,"Hai Kak Ika, mohon maaf atas ketidaknyamanannya. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Apabila ada pertanyaan atau keluhan terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. ^Miko",2025-05-16 06:50:24,
c18d9377-d6fb-40b3-ae49-c6a3b946a7c7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,5.18.2,2025-05-16 02:09:17,,,5.18.2
876ec284-4973-414a-9021-4cd164012488,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,3,0,5.18.2,2025-05-16 02:05:34,,,5.18.2
